Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340124,-,Albay,Philippines,13.13,123.74,8,91,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Pressure,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,7,30,24.7,4.3,1011,91.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,8,30,25.9,4.8,1012,86.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,9,30,26.4,5,1012,83.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,10,30,26.7,5,1011,81.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,11,30,27,5,1010,80.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,12,30,27,4.9,1009,80.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,13,30,26.7,4.8,1009,81.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,14,30,26.2,4.6,1009,83.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,15,30,25.7,4.2,1009,86.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,16,30,25,3.6,1010,90.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,17,30,24.5,3.1,1010,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,18,30,24.2,3,1010,93.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,19,30,24.1,2.9,1011,94.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,20,30,24,2.9,1011,94.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,21,30,23.9,2.9,1010,95.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,22,30,23.9,2.8,1010,95.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,23,30,23.8,2.7,1009,95.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,0,30,23.8,2.6,1009,95.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,1,30,23.8,2.5,1008,95.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,2,30,23.7,2.4,1008,96.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,3,30,23.8,2.3,1008,95.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,4,30,23.8,2.3,1008,95.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,5,30,24,2.4,1009,94.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,6,30,24.8,2.9,1009,91.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,7,30,25.4,3.4,1009,90.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,8,30,26.7,3.9,1009,84.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,9,30,27.4,4,1009,80.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,10,30,27.9,3.9,1008,78.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,11,30,28.1,3.9,1008,77.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,12,30,28.1,3.9,1007,77.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,13,30,27.9,3.9,1007,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,14,30,27.4,3.8,1007,80.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,15,30,26.8,3.5,1007,83.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,16,30,25.8,2.9,1007,89.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,17,30,25.1,2.3,1008,94.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,18,30,24.9,2.2,1008,95.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,19,30,24.7,2.1,1009,96.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,20,30,24.6,2.1,1009,96.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,21,30,24.5,2,1009,97.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,22,30,24.5,1.9,1008,97.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,23,30,24.5,1.9,1008,98.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,0,30,24.4,2,1008,98.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,1,30,24.4,2.1,1008,98.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,2,30,24.3,2.1,1007,98.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,3,30,24.3,2.1,1008,98.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,4,30,24.3,2.1,1008,98.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,5,30,24.5,2.1,1008,96.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,6,30,25.2,2.6,1009,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,7,30,25.8,3,1009,93.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,8,30,27.2,3.8,1009,85.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,9,30,27.9,4,1009,80.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,10,30,28.2,4.1,1008,78.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,11,30,28.3,4.1,1007,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,12,30,28.2,4.1,1006,78.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,13,30,28,4.2,1006,78.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,14,30,27.6,4.1,1007,79.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,15,30,26.9,3.8,1007,82.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,16,30,25.9,3.1,1008,87.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,17,30,25.1,2.6,1008,91.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,18,30,24.7,2.4,1008,92.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,19,30,24.5,2.3,1008,92.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,20,30,24.2,2.2,1009,93.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,21,30,24,2.1,1009,93.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,22,30,23.9,2,1009,93.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,5,23,30,23.7,2,1009,93.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,0,30,23.6,2,1008,93.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,1,30,23.4,2,1008,93.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,2,30,23.3,2.1,1008,92.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,3,30,23.2,2.1,1008,91.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,4,30,23.1,2.1,1008,90.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,5,30,23.2,2.2,1009,89.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,6,30,24.1,2.5,1009,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,7,30,24.8,2.8,1009,83.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,8,30,26.2,3.3,1010,76.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,9,30,26.8,3.4,1009,73.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,10,30,27.2,3.4,1008,72.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,11,30,27.4,3.3,1007,71.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,12,30,27.5,3.3,1006,71.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,13,30,27.3,3.3,1006,71.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,14,30,26.9,3.3,1006,73.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,15,30,26.1,3.1,1006,76.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,16,30,25,2.7,1007,82.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,17,30,24.2,2.4,1008,87.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,18,30,23.9,2.3,1008,89.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,19,30,23.7,2.3,1009,90.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,20,30,23.5,2.3,1009,91.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,21,30,23.3,2.2,1008,92.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,6,22,30,23.1,2.1,1008,93.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
